iter	Passed	Remaining
0	2	2530
1	5	2532
2	7	2499
3	9	2484
4	12	2472
5	14	2457
6	17	2448
7	19	2442
8	22	2434
9	24	2438
10	27	2437
11	29	2431
12	31	2428
13	34	2415
14	36	2404
15	38	2396
16	41	2391
17	43	2388
18	46	2386
19	48	2383
20	51	2378
21	53	2374
22	55	2371
23	58	2359
24	60	2356
25	62	2355
26	65	2350
27	67	2347
28	70	2344
29	72	2344
30	75	2348
31	77	2349
32	80	2351
33	82	2350
34	85	2347
35	87	2342
36	89	2338
37	92	2333
38	94	2327
39	96	2323
40	99	2318
41	101	2315
42	103	2313
43	106	2310
44	108	2308
45	111	2305
46	113	2304
47	116	2300
48	118	2299
49	120	2297
50	123	2295
51	125	2294
52	128	2292
53	130	2290
54	133	2287
55	135	2283
56	137	2280
57	140	2277
58	142	2275
59	145	2272
60	147	2270
61	149	2267
62	152	2265
63	154	2262
64	157	2260
65	159	2257
66	161	2255
67	164	2253
68	166	2250
69	169	2247
70	171	2245
71	174	2242
72	176	2240
73	179	2240
74	181	2240
75	184	2239
76	186	2237
77	189	2234
78	191	2232
79	193	2229
80	196	2227
81	198	2225
82	201	2222
83	203	2219
84	205	2216
85	208	2213
86	210	2210
87	213	2207
88	215	2204
89	217	2201
90	220	2199
91	222	2196
92	224	2193
93	227	2191
94	229	2188
95	232	2185
96	234	2182
97	236	2180
98	239	2177
99	241	2175
100	244	2172
101	246	2170
102	248	2167
103	251	2164
104	253	2161
105	256	2159
106	258	2156
107	260	2154
108	264	2159
109	266	2156
110	268	2154
111	271	2151
112	273	2148
113	276	2145
114	278	2143
115	280	2140
116	283	2138
117	285	2136
118	288	2134
119	290	2131
120	292	2128
121	295	2124
122	297	2122
123	300	2119
124	302	2116
125	304	2113
126	307	2111
127	309	2108
128	311	2106
129	314	2103
130	316	2100
131	318	2097
132	321	2094
133	323	2091
134	325	2088
135	328	2085
136	330	2082
137	332	2079
138	335	2077
139	337	2074
140	340	2071
141	342	2069
142	344	2066
143	347	2063
144	349	2060
145	351	2057
146	353	2053
147	356	2051
148	358	2048
149	361	2045
150	363	2044
151	365	2041
152	368	2039
153	370	2036
154	373	2033
155	375	2031
156	377	2028
157	380	2026
158	382	2024
159	385	2022
160	387	2021
161	390	2019
162	392	2017
163	395	2014
164	397	2012
165	400	2010
166	402	2007
167	404	2005
168	407	2002
169	409	2000
170	412	1997
171	414	1994
172	416	1992
173	419	1989
174	421	1987
175	423	1985
176	426	1982
177	428	1979
178	431	1977
179	433	1974
180	435	1972
181	438	1969
182	440	1966
183	443	1965
184	445	1962
185	447	1960
186	450	1957
187	452	1955
188	455	1952
189	457	1950
190	459	1947
191	462	1945
192	464	1942
193	466	1939
194	469	1937
195	471	1934
196	473	1931
197	476	1929
198	478	1926
199	480	1923
200	483	1920
201	485	1918
202	488	1916
203	490	1914
204	493	1912
205	495	1909
206	497	1907
207	500	1904
208	502	1901
209	504	1898
210	507	1896
211	509	1893
212	511	1891
213	514	1889
214	516	1886
215	519	1884
216	521	1881
217	523	1878
218	526	1876
219	528	1873
220	530	1870
221	533	1867
222	535	1865
223	537	1862
224	540	1860
225	542	1857
226	544	1855
227	547	1852
228	549	1849
229	551	1846
230	554	1844
231	556	1841
232	559	1841
233	561	1839
234	564	1836
235	566	1834
236	569	1831
237	571	1829
238	573	1826
239	576	1824
240	578	1821
241	580	1819
242	583	1816
243	585	1813
244	587	1810
245	590	1808
246	592	1806
247	594	1804
248	597	1801
249	599	1798
250	601	1796
251	604	1793
252	606	1791
253	609	1788
254	611	1786
255	613	1783
256	616	1781
257	618	1778
258	620	1776
259	623	1773
260	625	1771
261	628	1769
262	630	1766
263	632	1763
264	635	1761
265	637	1758
266	639	1756
267	642	1753
268	644	1751
269	646	1748
270	649	1746
271	651	1743
272	653	1741
273	656	1738
274	658	1736
275	661	1734
276	663	1731
277	665	1729
278	668	1726
279	670	1724
280	672	1721
281	675	1719
282	677	1716
283	679	1714
284	682	1712
285	684	1709
286	687	1707
287	689	1705
288	692	1703
289	694	1700
290	696	1698
291	699	1695
292	701	1693
293	704	1690
294	706	1688
295	708	1685
296	711	1683
297	713	1680
298	716	1678
299	718	1676
300	720	1673
301	723	1671
302	725	1668
303	727	1666
304	730	1663
305	732	1661
306	734	1658
307	737	1655
308	739	1653
309	741	1651
310	744	1648
311	746	1646
312	748	1643
